Prefix,Occurrence,FirstPosition,MidPosition,LastPosition,OnlyWord,Rank1,Rank2,Rank3,Rank4,Rank5,Rank6,Rank7,Rank8,Rank9,Rank10,Rank11,Rank12,Rank13,Rank14,Rank15,Rank16,Rank17,Rank18,Rank19,Rank20
apply,12,12,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Appswitch,8,0,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Architecture,131,0,111,20,0,0,111,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Architectures,135,0,0,135,0,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arg,119,0,0,119,0,0,52,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Args,431,0,397,34,0,0,397,2,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arguments,128,0,0,128,0,0,0,117,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Artifact,819,44,160,615,0,44,471,126,111,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Artifacts,1331,0,0,1331,0,0,301,150,880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
As,8,0,8,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
assemble,108,108,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
assert,200,200,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asset,9,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assets,82,0,82,0,0,0,0,68,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assumption,196,0,196,0,0,0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
At,56,0,56,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0
attach,24,24,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Authorities,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
authorize,78,78,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Auto,17,15,2,0,0,15,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Automator,17,0,17,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Avd,49,0,0,49,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Base,22,0,22,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blacklisted,63,0,63,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boolean,10,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Booted,1127,0,1127,0,0,0,0,0,0,1127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Both,7,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bridge,86,0,0,86,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Build,954,507,436,11,4,507,323,118,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Builder,42,0,11,31,0,0,0,22,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Built,66,0,66,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
By,385,0,385,0,0,0,0,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
call,208,208,0,0,208,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
can,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cancel,18,18,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canceled,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cancelled,4,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Capture,6,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Categories,23,0,0,23,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cause,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
check,1643,1643,0,0,0,1643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Checks,67,0,0,67,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Child,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Children,30,0,0,30,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Class,231,3,228,0,0,3,32,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Classes,835,0,833,2,0,0,2,313,520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Classifier,77,75,0,2,0,75,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Classpath,4,0,0,4,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Client,71,0,71,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Code,243,0,6,237,0,0,233,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
collect,308,308,0,0,0,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Collector,9,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comma,106,0,106,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Command,1655,0,293,1362,0,0,687,968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Commands,188,0,0,188,0,0,0,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Commmand,3,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Compatible,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Compile,452,387,18,47,0,387,47,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Compiled,180,0,180,0,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Compiler,82,0,64,18,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Config,167,81,82,4,0,81,69,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Configs,5,0,0,5,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Configuration,2053,0,2,2051,0,0,1977,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Configurations,38,0,0,38,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Conflicting,861,3,858,0,0,3,268,590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Connected,112,0,0,112,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Constant,43,0,0,43,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Constants,22,0,22,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
consume,80,80,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Consumer,76,0,9,67,0,0,9,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contains,298,298,0,0,0,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
convert,47,47,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
copy,1132,1132,0,0,0,1132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Core,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Count,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coverage,4,0,2,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crash,264,0,0,264,0,0,261,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crashes,3,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Create,1039,947,92,0,126,947,15,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crunching,14,0,0,14,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Custom,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data,30,0,28,2,0,0,2,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Debug,284,4,267,13,4,4,85,86,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Debuggable,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Default,317,2,315,0,0,2,264,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dependencies,2695,0,1151,1544,0,0,165,1868,357,0,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dependency,388,18,370,0,0,18,10,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deploy,418,418,0,0,0,418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Descendant,17,11,6,0,0,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Descriptive,225,0,225,0,0,0,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Descriptor,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Destination,4,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
determine,192,192,0,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Device,2366,0,1331,1035,0,0,5,1927,246,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Devices,652,0,0,652,0,0,59,593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dex,1680,35,1003,642,0,35,1119,522,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Digits,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dir,103,0,0,103,0,0,0,0,67,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Direct,48,0,48,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Directories,126,0,52,74,0,0,0,64,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Directory,732,3,170,559,0,3,247,51,378,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dirs,181,0,0,181,0,0,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Disable,16,14,2,0,0,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Do,1644,1391,253,0,0,1391,186,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
done,14,14,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dump,21,4,15,2,4,4,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Duplicates,625,0,0,625,0,0,0,0,625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dx,6,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Element,81,0,4,77,0,0,0,4,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elements,250,0,0,250,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eligeble,173,0,173,0,0,0,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Empty,13,0,0,13,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emulator,2185,0,1041,1144,0,0,1395,790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emulators,158,0,0,158,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enable,273,0,271,2,0,0,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enabled,26,0,0,26,0,0,11,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Encoding,51,0,0,51,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
End,103,45,0,58,0,45,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ended,378,0,0,378,0,0,104,243,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Environment,33,0,0,33,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
equals,647,647,0,0,647,647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Err,3,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Error,283,216,18,49,149,216,21,39,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Errors,81,0,0,81,0,0,0,0,14,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Event,8,0,2,6,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Events,5,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Exception,118,0,3,115,0,0,7,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Exceptions,5,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Exclude,16,14,2,0,14,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Excludes,40,0,0,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Executable,125,0,0,125,0,0,49,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
execute,2997,2997,0,0,1437,2997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Execution,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Executor,5,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Existing,144,0,144,0,0,0,132,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Exists,242,0,0,242,0,0,0,0,73,101,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ext,36,36,0,0,36,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Extra,30,0,30,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
extract,2274,2274,0,0,205,2274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Extractor,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Factory,3,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fail,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Failed,220,0,0,220,0,0,195,6,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Failure,200,0,2,198,0,0,0,196,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Failures,10,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fatal,7,4,3,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Field,143,0,139,4,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
File,1848,3,404,1441,0,3,651,72,708,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Filename,7,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Files,1786,0,0,1786,0,0,0,233,1553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Filter,261,255,4,2,0,255,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Filtered,150,0,150,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Filters,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
find,1142,1142,0,0,0,1142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finder,14,0,0,14,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
First,15,0,15,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fix,7,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
flag,6,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Folder,323,0,0,323,0,0,162,0,63,84,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Folders,30,0,0,30,0,0,0,2,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
For,2425,0,2107,318,0,0,1408,651,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Force,14,12,2,0,0,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Found,12,0,0,12,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Framework,6,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
From,1609,0,1609,0,0,0,0,775,525,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Full,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gdb,445,0,445,0,0,0,445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Generate,1038,1036,2,0,208,1036,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Generator,231,0,0,231,0,0,201,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
get,8949,8949,0,0,0,8949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grab,560,560,0,0,0,560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Group,62,0,62,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guard,9,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
h,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
handle,463,463,0,0,0,463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Handler,81,0,0,81,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hardware,20,0,20,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Has,32,12,20,0,0,12,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hash,233,233,0,0,0,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Helper,230,0,0,230,0,0,15,139,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Home,286,0,286,0,0,0,0,165,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hprof,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Html,8,0,4,4,0,0,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hup,5,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I,9,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Icon,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Id,64,0,0,64,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
If,169,0,169,0,0,0,0,0,101,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ignore,15,0,15,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ignored,18,0,0,18,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Impl,30,0,0,30,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Include,70,46,24,0,46,46,2,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Included,207,0,0,207,0,0,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Includes,40,0,0,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Increment,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Incremental,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Info,333,62,3,268,62,62,3,0,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
init,181,181,0,0,30,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Initial,197,0,197,0,0,0,0,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
initialize,140,140,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Inject,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Input,1279,0,1266,13,0,0,229,1050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
instrument,1183,1183,0,0,1183,1183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Instrumentation,283,0,283,0,0,0,251,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Integration,259,0,259,0,0,0,0,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Into,42,0,42,0,0,0,0,40,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Invalid,69,69,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Is,2338,1011,1327,0,0,1011,0,144,1127,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Issue,57,0,21,36,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jack,78,41,0,37,23,41,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jar,1189,22,517,650,0,22,100,444,364,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Java,747,131,521,95,0,131,580,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jdk,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jumbo,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Junit,282,0,282,0,0,0,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jvm,168,0,168,0,0,0,157,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Key,200,0,200,0,0,0,89,2,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kill,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Label,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Layout,11,0,8,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Layouts,858,0,0,858,0,0,0,268,590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Least,56,0,0,56,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0
Legacy,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Letter,15,0,15,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Level,191,0,0,191,0,0,0,0,0,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lib,908,0,391,517,0,0,92,711,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
